Sex,State,Age,count
men,NSW,0 to 4,235960
men,NSW,5 to 14,451019
men,NSW,15 to 19,230437
men,NSW,20 to 24,231634
men,NSW,25 to 34,469412
men,NSW,35 to 44,475707
men,NSW,45 to 54,468208
men,NSW,55 to 64,400618
men,NSW,65 to 74,264550
men,NSW,75 to 84,150642
men,NSW,85+,47883
women,NSW,0 to 4,223889
women,NSW,5 to 14,426188
women,NSW,15 to 19,217938
women,NSW,20 to 24,228257
women,NSW,25 to 34,482593
women,NSW,35 to 44,500396
women,NSW,45 to 54,485769
women,NSW,55 to 64,412882
women,NSW,65 to 74,276891
women,NSW,75 to 84,186143
women,NSW,85+,91796
men,Vic,0 to 4,176977
men,Vic,5 to 14,336213
men,Vic,15 to 19,178978
men,Vic,20 to 24,194125
men,Vic,25 to 34,380249
men,Vic,35 to 44,377582
men,Vic,45 to 54,355083
men,Vic,55 to 64,295240
men,Vic,65 to 74,188211
men,Vic,75 to 84,109599
men,Vic,85+,35694
women,Vic,0 to 4,167567
women,Vic,5 to 14,318912
women,Vic,15 to 19,170963
women,Vic,20 to 24,188233
women,Vic,25 to 34,387275
women,Vic,35 to 44,398842
women,Vic,45 to 54,372849
women,Vic,55 to 64,311174
women,Vic,65 to 74,201196
women,Vic,75 to 84,138039
women,Vic,85+,68227
men,QLD,0 to 4,154724
men,QLD,5 to 14,299470
men,QLD,15 to 19,153051
men,QLD,20 to 24,152729
men,QLD,25 to 34,297448
men,QLD,35 to 44,308646
men,QLD,45 to 54,295754
men,QLD,55 to 64,258670
men,QLD,65 to 74,173863
men,QLD,75 to 84,87398
men,QLD,85+,25673
women,QLD,0 to 4,146132
women,QLD,5 to 14,284378
women,QLD,15 to 19,147235
women,QLD,20 to 24,152829
women,QLD,25 to 34,304862
women,QLD,35 to 44,321648
women,QLD,45 to 54,306889
women,QLD,55 to 64,263584
women,QLD,65 to 74,175043
women,QLD,75 to 84,101619
women,QLD,85+,46266
men,SA,0 to 4,49115
men,SA,5 to 14,97954
men,SA,15 to 19,53461
men,SA,20 to 24,54446
men,SA,25 to 34,101757
men,SA,35 to 44,107186
men,SA,45 to 54,110810
men,SA,55 to 64,96985
men,SA,65 to 74,62675
men,SA,75 to 84,37840
men,SA,85+,12914
women,SA,0 to 4,47033
women,SA,5 to 14,93102
women,SA,15 to 19,50885
women,SA,20 to 24,52205
women,SA,25 to 34,101512
women,SA,35 to 44,108965
women,SA,45 to 54,113574
women,SA,55 to 64,101120
women,SA,65 to 74,67761
women,SA,75 to 84,47240
women,SA,85+,25035
men,NT,0 to 4,8941
men,NT,5 to 14,16860
men,NT,15 to 19,7966
men,NT,20 to 24,9628
men,NT,25 to 34,19980
men,NT,35 to 44,17933
men,NT,45 to 54,16369
men,NT,55 to 64,13896
men,NT,65 to 74,7123
men,NT,75 to 84,1977
men,NT,85+,322
women,NT,0 to 4,8408
women,NT,5 to 14,16002
women,NT,15 to 19,7112
women,NT,20 to 24,8675
women,NT,25 to 34,19471
women,NT,35 to 44,17264
women,NT,45 to 54,15513
women,NT,55 to 64,12630
women,NT,65 to 74,5905
women,NT,75 to 84,1935
women,NT,85+,512
men,Tas,0 to 4,16011
men,Tas,5 to 14,32085
men,Tas,15 to 19,16830
men,Tas,20 to 24,15002
men,Tas,25 to 34,26871
men,Tas,35 to 44,31051
men,Tas,45 to 54,34435
men,Tas,55 to 64,31875
men,Tas,65 to 74,20760
men,Tas,75 to 84,11036
men,Tas,85+,3433
women,Tas,0 to 4,15183
women,Tas,5 to 14,30556
women,Tas,15 to 19,15910
women,Tas,20 to 24,14788
women,Tas,25 to 34,28734
women,Tas,35 to 44,33664
women,Tas,45 to 54,36381
women,Tas,55 to 64,32589
women,Tas,65 to 74,21450
women,Tas,75 to 84,13708
women,Tas,85+,6677
men,WA,0 to 4,78063
men,WA,5 to 14,148713
men,WA,15 to 19,77246
men,WA,20 to 24,84817
men,WA,25 to 34,170491
men,WA,35 to 44,168333
men,WA,45 to 54,159496
men,WA,55 to 64,131382
men,WA,65 to 74,78497
men,WA,75 to 84,40129
men,WA,85+,11963
women,WA,0 to 4,73594
women,WA,5 to 14,141245
women,WA,15 to 19,72801
women,WA,20 to 24,79120
women,WA,25 to 34,160911
women,WA,35 to 44,164510
women,WA,45 to 54,156161
women,WA,55 to 64,130687
women,WA,65 to 74,78878
women,WA,75 to 84,48774
women,WA,85+,22343
men,ACT,0 to 4,12386
men,ACT,5 to 14,22248
men,ACT,15 to 19,12601
men,ACT,20 to 24,16152
men,ACT,25 to 34,29267
men,ACT,35 to 44,26601
men,ACT,45 to 54,23722
men,ACT,55 to 64,18927
men,ACT,65 to 74,10145
men,ACT,75 to 84,5068
men,ACT,85+,1634
women,ACT,0 to 4,11419
women,ACT,5 to 14,21165
women,ACT,15 to 19,11917
women,ACT,20 to 24,15495
women,ACT,25 to 34,29467
women,ACT,35 to 44,26935
women,ACT,45 to 54,24916
women,ACT,55 to 64,19971
women,ACT,65 to 74,10967
women,ACT,75 to 84,6389
women,ACT,85+,3158
