Sex,State,Country of origin,count
men,NSW,from Australia,2340131
men,NSW,from Bosnia and Herzegovina,3801
men,NSW,from Cambodia,5040
men,NSW,from Canada,5542
men,NSW,from China,69298
men,NSW,from Croatia,8890
men,NSW,from Egypt,9641
men,NSW,from Fiji,14974
men,NSW,from Former Yugoslav Republic of Macedonia ,8577
men,NSW,from Germany,14653
men,NSW,from Greece,15310
men,NSW,from Hong Kong,18189
men,NSW,from India,51975
men,NSW,from Indonesia,12162
men,NSW,from Iraq,14845
men,NSW,from Ireland,11918
men,NSW,from Italy,26852
men,NSW,from Japan,3953
men,NSW,from South Korea,19333
men,NSW,from Lebanon,29016
men,NSW,from Malaysia,12419
men,NSW,from Malta,8059
men,NSW,from Netherlands,9295
men,NSW,from New Zealand,57342
men,NSW,from Philippines,27641
men,NSW,from Poland,6208
men,NSW,from Singapore,5120
men,NSW,from South Africa,19811
men,NSW,from South Eastern Europe,4198
men,NSW,from Sri Lanka,11852
men,NSW,from Thailand,5934
men,NSW,from Turkey,6689
men,NSW,from Britain,140831
men,NSW,from United States of America,12957
men,NSW,from Vietnam,32830
men,NSW,from somewhere else,161823
men,NSW,from Country of birth not stated,201769
women,NSW,from Australia,2407240
women,NSW,from Bosnia and Herzegovina,3920
women,NSW,from Cambodia,6106
women,NSW,from Canada,6404
women,NSW,from China,86736
women,NSW,from Croatia,8808
women,NSW,from Egypt,8767
women,NSW,from Fiji,17330
women,NSW,from Former Yugoslav Republic of Macedonia ,8619
women,NSW,from Germany,16431
women,NSW,from Greece,16236
women,NSW,from Hong Kong,20378
women,NSW,from India,43411
women,NSW,from Indonesia,14670
women,NSW,from Iraq,14497
women,NSW,from Ireland,10003
women,NSW,from Italy,24771
women,NSW,from Japan,8154
women,NSW,from South Korea,22485
women,NSW,from Lebanon,27279
women,NSW,from Malaysia,14839
women,NSW,from Malta,7794
women,NSW,from Netherlands,8924
women,NSW,from New Zealand,56891
women,NSW,from Philippines,42746
women,NSW,from Poland,8120
women,NSW,from Singapore,6106
women,NSW,from South Africa,20435
women,NSW,from South Eastern Europe,4202
women,NSW,from Sri Lanka,11852
women,NSW,from Thailand,11607
women,NSW,from Turkey,6289
women,NSW,from Britain,133992
women,NSW,from United States of America,13572
women,NSW,from Vietnam,39010
women,NSW,from somewhere else,160188
women,NSW,from Country of birth not stated,189968
