Sex,State,Marital Status,count
Males,NSW,married,1378615
Males,NSW,separated,77093
Males,NSW,divorced,195190
Males,NSW,widowed,67185
Males,NSW,never married,1006222
Females,NSW,married,1380238
Females,NSW,separated,93336
Females,NSW,divorced,265956
Females,NSW,widowed,257332
Females,NSW,never married,863980
Males,Vic,married,1067642
Males,Vic,separated,56350
Males,Vic,divorced,141555
Males,Vic,widowed,49475
Males,Vic,never married,804803
Females,Vic,married,1069286
Females,Vic,separated,69091
Females,Vic,divorced,197942
Females,Vic,widowed,193146
Females,Vic,never married,705956
Males,QLD,married,826708
Males,QLD,separated,52784
Males,QLD,divorced,138549
Males,QLD,widowed,36863
Males,QLD,never married,643570
Females,QLD,married,828538
Females,QLD,separated,61643
Females,QLD,divorced,176131
Females,QLD,widowed,136607
Females,QLD,never married,555484
Males,WA,married,316692
Males,WA,separated,18159
Males,WA,divorced,51311
Males,WA,widowed,17074
Males,WA,never married,237013
Females,WA,married,316747
Females,WA,separated,20806
Females,WA,divorced,67421
Females,WA,widowed,65926
Females,WA,never married,198488
Males,SA,married,316692
Males,SA,separated,18159
Males,SA,divorced,51311
Males,SA,widowed,17074
Males,SA,never married,237013
Females,SA,married,316747
Females,SA,separated,20806
Females,SA,divorced,67421
Females,SA,widowed,65926
Females,SA,never married,198488
Males,Tas,married,95434
Males,Tas,separated,6110
Males,Tas,divorced,17259
Males,Tas,widowed,5795
Males,Tas,never married,69947
Females,Tas,married,95464
Females,Tas,separated,6980
Females,Tas,divorced,22334
Females,Tas,widowed,20452
Females,Tas,never married,61708
Males,NT,married,35610
Males,NT,separated,2795
Males,NT,divorced,6542
Males,NT,widowed,1243
Males,NT,never married,38104
Females,NT,married,34545
Females,NT,separated,2731
Females,NT,divorced,6732
Females,NT,widowed,3959
Females,NT,never married,30542
Males,ACT,married,68823
Males,ACT,separated,3404
Males,ACT,divorced,9027
Males,ACT,widowed,2288
Males,ACT,never married,58998
Females,ACT,married,68683
Females,ACT,separated,4133
Females,ACT,divorced,14066
Females,ACT,widowed,9062
Females,ACT,never married,52392
Males,Other Territories,married,839
Males,Other Territories,separated,40
Males,Other Territories,divorced,58
Males,Other Territories,widowed,17
Males,Other Territories,never married,755
Females,Other Territories,married,500
Females,Other Territories,separated,16
Females,Other Territories,divorced,32
Females,Other Territories,widowed,41
Females,Other Territories,never married,233
