CES0600000001,18811(P)
CES0700000001,118575(P)
CES0800000001,96733(P)
CES1000000001,883(P)
CES1011330001,54.4(P)
CES1021000001,828.8(P)
CES1021100001,204.2(P)
CES1021200001,210.0(P)
CES1021210001,80.2(P)
CES1021211101,34.6(P)
CES1021211301,45.6(P)
CES1021220001,43.2(P)
CES1021230001,86.5(P)
CES1021231001,39.6(P)
CES1021231201,20.4(P)
CES1021231901,19.3(P)
CES1021232001,35.2(P)
CES1021232101,24.3(P)
CES1021239001,11.9(P)
CES1021300001,414.6(P)
CES1021311201,303.1(P)
CES2000000001,5874(P)
CES2023600001,1315.2(P)
CES2023610001,633.4(P)
CES2023611501,306.7(P)
CES2023611601,26.1(P)
CES2023611701,26.0(P)
CES2023611801,274.7(P)
CES2023620001,681.8(P)
CES2023621001,159.1(P)
CES2023622001,522.6(P)
CES2023700001,876.7(P)
CES2023710001,437.3(P)
CES2023711001,150.2(P)
CES2023712001,130.5(P)
CES2023713001,156.9(P)
CES2023720001,43.0(P)
CES2023730001,292.8(P)
CES2023790001,104.3(P)
CES2023800001,3681.8(P)
CES2023800101,1580.8(P)
CES2023800201,2101.0(P)
CES2023810001,710.3(P)
CES2023811001,175.6(P)
CES2023812001,67.6(P)
CES2023813001,66.2(P)
CES2023814001,121.3(P)
CES2023815001,47.1(P)
CES2023816001,164.0(P)
CES2023817001,30.0(P)
CES2023819001,39.4(P)
CES2023820001,1757.1(P)
CES2023821001,763.3(P)
CES2023822001,873.5(P)
CES2023829001,121.0(P)
CES2023830001,668.0(P)
CES2023831001,209.4(P)
CES2023832001,175.5(P)
CES2023833001,60.0(P)
CES2023834001,46.1(P)
CES2023835001,108.6(P)
CES2023839001,67.2(P)
CES2023890001,543.5(P)
CES2023891001,267.3(P)
CES2023899001,278.8(P)
CES3000000001,12054(P)
CES3100000001,7583(P)
CES3132100001,358.0(P)
CES3132110001,85.9(P)
CES3132120001,70.6(P)
CES3132121201,28.5(P)
CES3132121401,42.2(P)
CES3132190001,201.4(P)
CES3132191001,94.4(P)
CES3132191101,44.7(P)
CES3132191801,49.5(P)
CES3132192001,53.0(P)
CES3132199001,54.3(P)
CES3132700001,378.2(P)
CES3132710001,39.3(P)
CES3132720001,83.8(P)
CES3132721201,25.4(P)
CES3132721501,58.5(P)
CES3132730001,170.0(P)
CES3132732001,81.3(P)
CES3132739001,88.1(P)
CES3132790001,85.0(P)
CES3133100001,397.3(P)
CES3133110001,91.1(P)
CES3133120001,59.2(P)
CES3133130001,58.6(P)
CES3133140001,60.2(P)
CES3133150001,127.9(P)
CES3133151001,71.5(P)
CES3133151101,41.0(P)
CES3133152001,56.3(P)
CES3133200001,1445.9(P)
CES3133210001,100.6(P)
CES3133220001,38.8(P)
CES3133230001,353.0(P)
CES3133231001,165.1(P)
CES3133231201,89.5(P)
CES3133231301,75.4(P)
CES3133232001,187.6(P)
CES3133232101,53.3(P)
CES3133232201,99.3(P)
CES3133232301,34.9(P)
CES3133240001,94.8(P)
CES3133250001,22.9(P)
CES3133260001,41.8(P)
CES3133270001,374.0(P)
CES3133271001,293.3(P)
CES3133272001,80.5(P)
CES3133272101,40.4(P)
CES3133272201,40.0(P)
CES3133280001,135.3(P)
CES3133281201,71.7(P)
CES3133281301,63.8(P)
CES3133290001,283.3(P)
CES3133291001,91.4(P)
CES3133291201,37.6(P)
CES3133291901,53.7(P)
CES3133299001,191.8(P)
CES3133299101,28.2(P)
CES3133299401,46.6(P)
CES3133299901,117.0(P)
CES3133300001,1106.4(P)
CES3133310001,251.2(P)
CES3133311001,85.8(P)
CES3133311101,68.1(P)
CES3133312001,71.9(P)
CES3133313001,93.7(P)
CES3133320001,107.4(P)
CES3133330001,87.3(P)
CES3133340001,129.3(P)
CES3133341501,83.3(P)
CES3133350001,179.2(P)
CES3133351101,36.8(P)
CES3133351401,65.4(P)
CES3133351701,37.9(P)
CES3133351901,38.8(P)
CES3133360001,97.1(P)
CES3133390001,254.8(P)
CES3133391001,52.8(P)
CES3133392001,72.7(P)
CES3133399001,129.4(P)
CES3133400001,1057.7(P)
CES3133410001,160.2(P)
CES3133411101,93.0(P)
CES3133411201,22.8(P)
CES3133411801,44.5(P)
CES3133420001,99.7(P)
CES3133421001,24.2(P)
CES3133422001,56.8(P)
CES3133430001,20.0(P)
CES3133440001,372.5(P)
CES3133441201,32.9(P)
CES3133441301,185.9(P)
CES3133441801,52.8(P)
CES3133441901,100.9(P)
CES3133450001,387.5(P)
CES3133451001,56.6(P)
CES3133451101,123.1(P)
CES3133451301,60.3(P)
CES3133451501,37.6(P)
CES3133451901,109.8(P)
CES3133460001,17.8(P)
CES3133500001,375.5(P)
CES3133510001,48.2(P)
CES3133520001,59.9(P)
CES3133530001,144.4(P)
CES3133531101,24.9(P)
CES3133531201,40.2(P)
CES3133531301,31.6(P)
CES3133531401,48.0(P)
CES3133590001,122.9(P)
CES3133591001,26.0(P)
CES3133593001,41.0(P)
CES3133599001,55.9(P)
CES3133600001,1519.8(P)
CES3133600101,841.7(P)
CES3133610001,185.5(P)
CES3133611001,159.7(P)
CES3133611101,115.7(P)
CES3133611201,43.0(P)
CES3133612001,26.6(P)
CES3133620001,137.9(P)
CES3133621101,55.6(P)
CES3133621401,82.1(P)
CES3133630001,518.3(P)
CES3133631001,59.1(P)
CES3133632001,54.3(P)
CES3133633001,32.5(P)
CES3133634001,24.5(P)
CES3133635001,68.9(P)
CES3133636001,63.0(P)
CES3133637001,72.9(P)
CES3133639001,143.3(P)
CES3133640001,482.5(P)
CES3133641101,226.9(P)
CES3133641201,78.7(P)
CES3133641301,104.9(P)
CES3133641901,72.3(P)
CES3133660001,138.2(P)
CES3133661101,106.9(P)
CES3133661201,31.5(P)
CES3133690001,57.7(P)
CES3133700001,364.3(P)
CES3133710001,229.3(P)
CES3133711001,105.0(P)
CES3133712001,124.3(P)
CES3133712101,54.0(P)
CES3133712201,38.0(P)
CES3133712701,32.1(P)
CES3133720001,100.4(P)
CES3133721201,35.3(P)
CES3133721401,22.0(P)
CES3133721501,43.2(P)
CES3133790001,34.1(P)
CES3133900001,580.1(P)
CES3133910001,308.0(P)
CES3133911201,122.6(P)
CES3133911301,97.8(P)
CES3133911601,44.8(P)
CES3133990001,272.0(P)
CES3133991001,27.3(P)
CES3133992001,41.8(P)
CES3133995001,70.3(P)
CES3133999001,132.5(P)
CES3200000001,4471(P)
CES3231100001,1484.4(P)
CES3231110001,55.2(P)
CES3231120001,59.7(P)
CES3231122001,45.7(P)
CES3231123001,14.0(P)
CES3231130001,67.5(P)
CES3231135001,38.3(P)
CES3231140001,172.8(P)
CES3231141001,90.6(P)
CES3231141101,33.3(P)
CES3231141201,57.7(P)
CES3231142001,81.6(P)
CES3231150001,136.0(P)
CES3231151101,53.6(P)
CES3231160001,480.7(P)
CES3231161101,141.5(P)
CES3231161301,116.4(P)
CES3231161501,222.7(P)
CES3231170001,39.9(P)
CES3231180001,290.1(P)
CES3231181001,216.1(P)
CES3231181101,75.8(P)
CES3231181301,140.3(P)
CES3231183001,74.0(P)
CES3231190001,184.9(P)
CES3231191001,50.2(P)
CES3231199001,134.7(P)
CES3231300001,117.8(P)
