"","Country","Region","Round","Subject","Year.Test","Mean.Test","StDev.Test","Per5.Test","Per10.Test","Per25.Test","Per75.Test","Per90.Test","Per95.Test","Mean.M.Test","Mean.F.Test","Con.Num.Test","Con.Alg.Test","Con.Meas.Test","Con.Geom.Test","Con.Data.Test","Con.Num.F.Test","Con.Num.M.Test","Con.Alg.F.Test","Con.Alg.M.Test","Con.Meas.F.Test","Con.Meas.M.Test","Con.Geom.F.Test","Con.Geom.M.Test","Con.Data.F.Test","Con.Data.M.Test","Con.SS.Test","Con.SS.M.Test","Con.SS.F.Test","Con.CR.Test","Con.CR.M.Test","Con.CR.F.Test","Con.Quant.Test","Con.Quant.M.Test","Con.Quant.F.Test","Con.Un.Test","Con.Un.M.Test","Con.Un.F.Test"
"1","Australia","Western",1,"Math",NA,0.671607660843159,-0.454291796460827,0.873183705720098,NA,0.781075709613936,2.74189576219465,NA,2.75041686337498,0.552644376814486,0.814015205048984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Belgium","Western",1,"Math",NA,0.114283431386345,2.96801892990427,-0.452080930132836,NA,-0.172746644239045,0.364106539883885,NA,0.416314296231136,0.0276703505559038,0.209208722963511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Hungary","Western",1,"Math",NA,-1.57684304626671,0.776864139397157,-1.66043829518787,NA,-1.7416982427081,2.12445100238413,NA,2.1874603646327,-1.5434022650236,-1.59433611138548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Italy","Western",1,"Math",NA,-0.855121032055535,-0.0333986935086325,-1.06174346397369,NA,-0.875367032830111,-0.925465440979303,NA,-0.814588652267961,-0.821954418949881,-0.90042615407036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Japan","Eastern",1,"Math",NA,2.75201735280616,-0.544677490197111,3.00817361379452,NA,2.86448896909348,2.99752738789212,NA,3.02097920905953,2.82496551513751,2.71611759274595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Korea","Eastern",1,"Math",NA,1.4194614484024,-0.202592819741412,1.69584608022857,NA,1.49599657505752,0.540655388528108,NA,0.533137070617816,1.50748061865851,1.28197753947856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Netherlands","Western",1,"Math",NA,-0.391441760676647,-0.470053482960126,-0.0563349345422339,NA,-0.353169430497363,0.138951059024427,NA,0.00503871802158706,-0.438728206453211,-0.348920064966185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","New Zealand","Western",1,"Math",NA,-1.04498608085565,-0.292978513477696,-0.795569832477931,NA,-1.01060892975088,-0.224725685258459,NA,-0.0929796037637338,-1.02705348842554,-1.03195541037387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Norway","Western",1,"Math",NA,0.0902402976715945,0.348090193195314,0.0102846426704644,NA,0.107800208167116,-0.314193509899168,NA,-0.306211671958647,0.138023001849447,0.03195202445874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Slovak Republic","Eastern",1,"Math",NA,-0.422106845874103,1.04432480261587,-0.681752665665504,NA,-0.419505447153634,-0.374660801057754,NA,-0.341761926396233,-0.394662792842093,-0.461653891348984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Sweden","Western",1,"Math",NA,0.6247199515901,0.0963912164758995,0.711184249477791,NA,0.688265440513535,4.17967870567915e-05,NA,-0.012502760748451,0.652349277706393,0.60461464094187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","United States","Western",1,"Math",NA,0.825206214848179,1.06008648911517,0.552070890478424,NA,0.678081008765978,-0.233635121490043,NA,-0.188645004959294,0.861858741155304,0.773602654200111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Hong Kong SAR","Eastern",1,"Math",NA,1.07777800851102,0.961819952129236,0.818244521974186,NA,1.143129690229,0.678244846866624,NA,0.583201449053613,1.07945820756867,1.06442101644087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Indonesia","Eastern",1,"Math",NA,-1.70683740370474,-3.45570941987373,-1.17780203943647,NA,-1.52636869781427,-2.61144191994715,NA,-2.71949276006753,-1.61172484548761,-1.77170553620621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Latvia","Eastern",1,"Math",NA,-0.125222475602462,-1.47315297184764,0.243895177523736,NA,0.0328206131820506,-0.598146671154357,NA,-0.701139286798875,-0.134289628576671,-0.0889377608546314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Russian Federation","Eastern",1,"Math",NA,-0.212553958917251,0.623431699663677,-0.358874457506065,NA,-0.292574683241324,-0.743772568393088,NA,-0.641698574222968,-0.164588613571962,-0.252723609076445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Serbia","Eastern",1,"Math",NA,1.0305818225384,1.11894880985286,0.528438094554804,NA,0.827496681278359,-0.847449660664402,NA,-0.914769193460694,0.743233390651795,1.25622123178445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Tunisia","Western",1,"Math",NA,-2.27078358464426,-2.07112104428227,-2.19672435749999,NA,-2.22711578766624,-2.71238240471727,NA,-2.762758536347,-2.25127922076747,-2.3014720897809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Australia","Western",1,"Science",NA,0.315569520586097,-0.019409651987052,0.465790108508794,NA,0.417516575621017,0.261365491347855,NA,0.310088546597647,0.171116320813413,0.463933432529543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Belgium","Western",1,"Science",NA,0.222733512602524,1.69139276985548,-0.444749532255583,NA,-0.0762611364469082,0.253054589695747,NA,0.204775623831859,0.0452136945071686,0.378675839746493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Hungary","Western",1,"Science",NA,-0.851353266328269,0.873966964995835,-0.835961785696898,NA,-1.00664918731723,-0.352735475374157,NA,-0.27432049000346,-0.861093548256948,-0.833434678596357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Italy","Western",1,"Science",NA,-0.919078297056317,0.409771030015194,-1.47093151256892,NA,-0.933842286069333,-0.483501672056113,NA,-0.397590364603764,-1.01800535832024,-0.776493908113355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Japan","Eastern",1,"Science",NA,3.34161616480485,0.0472713038779995,3.21475121252739,NA,3.36139271759256,1.62802483600368,NA,1.54848869163725,3.32152750698814,3.32635226050423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Korea","Eastern",1,"Science",NA,1.4494088130482,-0.576031939552945,1.81588203148591,NA,1.69782301802398,0.786412068943955,NA,0.691430444404866,1.58367318351886,1.2337570241287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Netherlands","Western",1,"Science",NA,-0.295248758822348,0.302154515005293,0.100775266441687,NA,-0.389452991207965,0.151027380411166,NA,0.0996680761249866,-0.258929897093463,-0.328737983060893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","New Zealand","Western",1,"Science",NA,-0.50255105223976,0.940647920860886,-0.614595476894984,NA,-0.599667198421628,0.0543604264031546,NA,0.169455523021291,-0.381946043448709,-0.627804262674857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Norway","Western",1,"Science",NA,-0.232927085881296,1.40020892771243,-0.814067715531268,NA,-0.38999538760067,-0.318557583052461,NA,-0.163975870185307,-0.179066791669693,-0.308803447719193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Slovak Republic","Eastern",1,"Science",NA,-0.556253706556071,2.12520837998682,-0.934450625581761,NA,-0.705045500224812,3.85676911331826,NA,3.97668645281336,-0.457128856810199,-0.66123250429329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Sweden","Western",1,"Science",NA,0.0625370900491102,0.619083753868541,-0.200117600238969,NA,0.0355691799257871,0.0566913856564348,NA,0.122862100070783,0.11606678794216,0.0308470605589425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","United States","Western",1,"Science",NA,0.344990007153993,0.746525359432188,0.130341695268356,NA,0.144121601062438,-0.0425770463421104,NA,0.0353766532063283,0.436436591409068,0.272103848767682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
